candidate_id,rank,score,reasoning
CAND_0094056,47,0.660690,"NLP Engineer with 5.9 years in Chennai, Tamil Nadu; retrieval, semantic search, recommendation plus Embeddings, Sentence Transformers, Pinecone. Fits the JD through ML/NLP title, product-company exposure, and availability signals (relocation ok; 82% recruiter response)."
CAND_0074225,48,0.658124,"Machine Learning Engineer with 4.3 years in Vizag, Andhra Pradesh; retrieval, recommendation, ranking plus Vector Search, Recommendation Systems, Semantic Search. Fits the JD through applied ML title, some relevant industry exposure, and availability signals (open to work; relocation ok)."
CAND_0061265,49,0.656815,"Recommendation Systems Engineer with 6.6 years in Delhi, Delhi; retrieval, semantic search, recommendation plus Vector Search, Embeddings, Milvus. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; 94% recruiter response)."
CAND_0001610,50,0.654240,"Machine Learning Engineer with 3.0 years in Trivandrum, Kerala; retrieval, semantic search, recommendation plus Information Retrieval, Sentence Transformers, FAISS. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0050454,51,0.652595,"AI Engineer with 6.8 years in Delhi, Delhi; retrieval, semantic search, recommendation plus FAISS, NLP, LLMs. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0029367,52,0.651153,"Senior Data Scientist with 5.7 years in Bangalore, Karnataka; retrieval, semantic search, recommendation plus Recommendation Systems, Vector Search, Sentence Transformers. Fits the JD through data science title, product-company exposure, and availability signals (open to work; active 42d ago)."
CAND_0075439,53,0.647592,"Machine Learning Engineer with 4.3 years in Vizag, Andhra Pradesh; retrieval, recommendation, ranking plus Vector Search, Information Retrieval, Semantic Search. Fits the JD through applied ML title, product-company exposure, and availability signals (active 55d ago; 30d notice)."
CAND_0074735,54,0.644712,"Applied ML Engineer with 5.5 years in Chandigarh, Chandigarh; recommendation, ranking, embedd plus Information Retrieval, Vector Search, Semantic Search. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; 77% recruiter response)."
CAND_0007412,55,0.636482,"Applied ML Engineer with 7.4 years in Noida, Uttar Pradesh; recommendation, ranking, embedd plus Recommendation Systems, Pinecone, Milvus. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; active 73d ago)."
CAND_0041568,56,0.633769,"Search Engineer with 5.2 years in Sydney; retrieval, semantic search, recommendation plus Semantic Search, Vector Search, Recommendation Systems. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work)."
CAND_0003977,57,0.630505,"Recommendation Systems Engineer with 4.6 years in Delhi, Delhi; retrieval, semantic search, recommendation plus Semantic Search, Embeddings, Python. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (45d notice and 55% recruiter response)."
CAND_0006557,58,0.630232,"NLP Engineer with 7.9 years in Jaipur, Rajasthan; retrieval, recommendation, ranking plus Vector Search, Information Retrieval, FAISS. Fits the JD through ML/NLP title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0044855,59,0.615987,"Senior Data Scientist with 6.6 years in Coimbatore, Tamil Nadu; retrieval, semantic search, recommendation plus Embeddings, Information Retrieval, Vector Search. Fits the JD through data science title, product-company exposure, and availability signals (relocation ok; active 68d ago)."
CAND_0075249,60,0.610503,"Applied ML Engineer with 6.2 years in Ahmedabad, Gujarat; retrieval, semantic search, recommendation plus Pinecone, Sentence Transformers, Milvus. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; 82% recruiter response)."
CAND_0094759,61,0.609923,"Lead AI Engineer with 8.6 years in Mumbai, Maharashtra; retrieval, ranking, embedd plus Semantic Search, Vector Search, FAISS. Fits the JD through senior AI title, product-company exposure, and availability signals (relocation ok; 30d notice). Concern: low response."
CAND_0068811,62,0.609576,"Applied ML Engineer with 8.0 years in Pune, Maharashtra; retrieval, recommendation, ranking plus Vector Search, Embeddings, Pinecone. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0037566,63,0.608712,"Machine Learning Engineer with 6.9 years in Bangalore, Karnataka; retrieval, recommendation, ranking plus Pinecone, NLP, LLMs. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0064904,64,0.608448,"AI Engineer with 4.9 years in Hyderabad, Telangana; retrieval, recommendation, ranking plus Vector Search, Recommendation Systems, Embeddings. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; 78% recruiter response)."
CAND_0028793,65,0.607467,"Search Engineer with 7.2 years in Trivandrum, Kerala; retrieval, semantic search, recommendation plus Embeddings, Information Retrieval, NLP. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0041610,66,0.607061,"Recommendation Systems Engineer with 6.7 years in Indore, Madhya Pradesh; retrieval, recommendation, ranking plus Recommendation Systems, Embeddings, LoRA. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0024466,67,0.606031,"Search Engineer with 5.2 years in Toronto; retrieval, recommendation, ranking plus Sentence Transformers, Recommendation Systems, Pinecone. Fits the JD through retrieval/recommendation title, some relevant industry exposure, and availability signals (open to work; relocation ok)."
CAND_0016163,68,0.605718,"Applied ML Engineer with 6.7 years in Gurgaon, Haryana; retrieval, semantic search, recommendation plus Embeddings, Pinecone, Machine Learning. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; 72% recruiter response)."
CAND_0030348,69,0.604785,"Machine Learning Engineer with 4.5 years in Noida, Uttar Pradesh; retrieval, semantic search, recommendation plus Vector Search, Embeddings, Python. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work)."
CAND_0040117,70,0.602680,"Recommendation Systems Engineer with 6.5 years in Vizag, Andhra Pradesh; retrieval, recommendation, ranking plus Embeddings, FAISS, RAG. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; 66% recruiter response)."
CAND_0060072,71,0.601333,"Staff Machine Learning Engineer with 5.7 years in Indore, Madhya Pradesh; retrieval, vector search, recommendation plus Embeddings, Recommendation Systems, Pinecone. Fits the JD through senior ML title, product-company exposure, and availability signals (relocation ok). Concern: low response."
CAND_0086151,72,0.599470,"Recommendation Systems Engineer with 7.7 years in Vizag, Andhra Pradesh; retrieval, semantic search, recommendation plus Embeddings, Recommendation Systems, Sentence Transformers. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0096172,73,0.599155,"NLP Engineer with 5.2 years in Chennai, Tamil Nadu; retrieval, semantic search, recommendation plus Semantic Search, RAG, Sentence Transformers. Fits the JD through ML/NLP title, product-company exposure, and availability signals (active 59d ago)."
CAND_0046064,74,0.595508,"Senior NLP Engineer with 8.9 years in Coimbatore, Tamil Nadu; retrieval, vector search, recommendation plus Semantic Search, Pinecone, Python. Fits the JD through senior ML/NLP title, product-company exposure, and availability signals (open to work; active 66d ago)."
CAND_0076251,75,0.594706,"Search Engineer with 7.6 years in Bhubaneswar, Odisha; retrieval, semantic search, recommendation plus Semantic Search, LLMs, Fine-tuning LLMs. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0018722,76,0.589407,"Recommendation Systems Engineer with 6.6 years in Toronto; retrieval, semantic search, recommendation plus Recommendation Systems, Python, LLMs. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0080766,77,0.588728,"Staff Machine Learning Engineer with 8.8 years in Coimbatore, Tamil Nadu; retrieval, semantic search, ranking plus Python, Milvus, MLOps. Fits the JD through senior ML title, product-company exposure, and availability signals (relocation ok; 66% recruiter response)."
CAND_0040887,78,0.586117,"Machine Learning Engineer with 4.7 years in Toronto; retrieval, semantic search, recommendation plus Recommendation Systems, Python, FAISS. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; active 38d ago)."
CAND_0032807,79,0.584822,"Machine Learning Engineer with 4.2 years in Trivandrum, Kerala; retrieval, recommendation, embedd plus Sentence Transformers, Milvus, Python. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work)."
CAND_0039521,80,0.584539,"Search Engineer with 3.0 years in Coimbatore, Tamil Nadu; recommendation, ranking, embedd plus Semantic Search, Sentence Transformers, Embeddings. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (30d notice)."
CAND_0022812,81,0.580973,"Applied ML Engineer with 4.5 years in Coimbatore, Tamil Nadu; retrieval, semantic search, recommendation plus Sentence Transformers, Pinecone, NLP. Fits the JD through applied ML title, product-company exposure, and availability signals (relocation ok; 79% recruiter response)."
CAND_0043228,82,0.580309,"Applied ML Engineer with 6.8 years in Chennai, Tamil Nadu; retrieval, semantic search, recommendation plus Vector Search, Sentence Transformers, NLP. Fits the JD through applied ML title, product-company exposure, and availability signals (active 40d ago; 30d notice)."
CAND_0098846,83,0.577840,"AI Engineer with 7.6 years in Indore, Madhya Pradesh; retrieval, recommendation, ranking plus Recommendation Systems, Machine Learning, Hugging Face Transformers. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0009024,84,0.575561,"Search Engineer with 5.2 years in Chennai, Tamil Nadu; retrieval, recommendation, ranking plus Recommendation Systems, FAISS, MLOps. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; 30d notice)."
CAND_0032515,85,0.574262,"Machine Learning Engineer with 5.1 years in Seattle; recommendation, ranking, rag plus Semantic Search, Vector Search, NLP. Fits the JD through applied ML title, product-company exposure, and availability signals (active 48d ago)."
CAND_0060054,86,0.571598,"AI Engineer with 6.4 years in Jaipur, Rajasthan; retrieval, semantic search, recommendation plus Semantic Search, Recommendation Systems, FAISS. Fits the JD through applied ML title, product-company exposure, and availability signals (relocation ok; 86% recruiter response)."
CAND_0006418,87,0.569479,"Machine Learning Engineer with 5.7 years in Gurgaon, Haryana; retrieval, recommendation, ranking plus Semantic Search, Embeddings, MLflow. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0052335,88,0.560925,"Applied ML Engineer with 6.4 years in Berlin; semantic search, recommendation, ranking plus Sentence Transformers, Semantic Search, NLP. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0053591,89,0.559506,"AI Engineer with 5.3 years in Toronto; semantic search, recommendation, ranking plus Sentence Transformers, Embeddings, Milvus. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; active 45d ago)."
CAND_0076831,90,0.552834,"Search Engineer with 4.0 years in Delhi, Delhi; retrieval, semantic search, recommendation plus NLP, Milvus, Fine-tuning LLMs. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0037944,91,0.547143,"Senior Data Scientist with 4.9 years in Jaipur, Rajasthan; retrieval, recommendation, ranking plus Vector Search, Embeddings, Sentence Transformers. Fits the JD through data science title, product-company exposure, and availability signals (open to work; 30d notice)."
CAND_0066999,92,0.545301,"Recommendation Systems Engineer with 5.9 years in Delhi, Delhi; recommendation, ranking, rag plus Information Retrieval, Embeddings, FAISS. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0064270,93,0.541543,"Applied ML Engineer with 4.2 years in Pune, Maharashtra; retrieval, semantic search, recommendation plus Embeddings, Sentence Transformers, Hugging Face Transformers. Fits the JD through applied ML title, product-company exposure, and availability signals (relocation ok; 82% recruiter response)."
CAND_0044222,94,0.531026,"AI Engineer with 7.7 years in Vizag, Andhra Pradesh; retrieval, semantic search, recommendation plus Vector Search, NLP, Fine-tuning LLMs. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; active 47d ago)."
CAND_0070485,95,0.530743,"Search Engineer with 6.4 years in Coimbatore, Tamil Nadu; retrieval, semantic search, recommendation plus Recommendation Systems, Information Retrieval, FAISS. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work)."
CAND_0079064,96,0.528951,"Senior Data Scientist with 5.2 years in Noida, Uttar Pradesh; retrieval, semantic search, recommendation plus Semantic Search, Recommendation Systems, Pinecone. Fits the JD through data science title, product-company exposure, and availability signals (open to work; 91% recruiter response)."
CAND_0030953,97,0.527971,"Search Engineer with 7.8 years in Chennai, Tamil Nadu; retrieval, semantic search, recommendation plus RAG, Python, Hugging Face Transformers. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (45d notice and 63% recruiter response)."
CAND_0076904,98,0.527710,"Senior Data Scientist with 4.2 years in London; retrieval, semantic search, recommendation plus Vector Search, Information Retrieval, Recommendation Systems. Fits the JD through data science title, product-company exposure, and availability signals (open to work; active 71d ago)."
CAND_0070202,99,0.520703,"Machine Learning Engineer with 5.1 years in Jaipur, Rajasthan; retrieval, recommendation, ranking plus Semantic Search, Embeddings, RAG. Fits the JD through applied ML title, product-company exposure, and availability signals (active 42d ago)."
CAND_0036437,100,0.519900,"Search Engineer with 4.8 years in Kolkata, West Bengal; retrieval, recommendation, ranking plus Vector Search, Sentence Transformers, FAISS. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (relocation ok; active 48d ago)."
